Job Title,Skills,ROI,Company Name,Experience Level,Location,Industry,CS Team Size,Customer Satisfaction,Rating,Project Success Rate,Tenure,Client Name,Company Size,Recent Activity,Budget Range
Customer Success Manager,"Market Analysis, Training, Relationship Management, Problem-Solving, Leadership",176.32674231173027,Company 1,Mid-level,USA,Healthcare,19,92,3.5,73,10,Client 1,Small,Expansion,Low
Onboarding Specialist,"Training Design, Training, Market Analysis, Problem-Solving",100.17612321882604,Company 2,Mid-level,USA,Healthcare,19,80,3.4,75,1,Client 2,Large,Product Launch,Medium
Customer Success Manager,"Technical Expertise, Leadership, Customer Support",144.55957670137252,Company 3,Mid-level,USA,Retail,8,84,3.2,70,5,Client 3,Medium,Product Launch,High
Customer Success Manager,"Analytics, Leadership",191.86869845885028,Company 4,Junior,USA,Retail,1,92,5.0,91,5,Client 4,Small,Expansion,Medium
Customer Training Manager,"Problem-Solving, Training, Relationship Management",198.05081459031464,Company 5,Junior,USA,Other,17,96,3.7,89,5,Client 5,Large,Expansion,Medium
Onboarding Specialist,"Technical Expertise, Strategic Planning",129.1153594544918,Company 6,Mid-level,USA,SaaS,15,84,3.7,77,10,Client 6,Small,Expansion,High
Product Manager,"Problem-Solving, Relationship Management",192.76939217926406,Company 7,Junior,USA,Retail,11,90,3.6,75,5,Client 7,Large,Product Launch,Low
Customer Training Manager,"Market Analysis, Relationship Management, Communication, Technical Expertise, Training",110.80284986925159,Company 8,Mid-level,USA,Healthcare,5,89,3.0,99,3,Client 8,Medium,Product Launch,Low
Customer Success Manager,"Technical Expertise, Leadership, Analytics",153.99099183964825,Company 9,Senior,USA,Retail,9,80,3.1,99,6,Client 9,Small,Product Launch,High
Onboarding Specialist,"Training, Strategic Planning, Problem-Solving, Market Analysis",169.61948795068457,Company 10,Junior,USA,SaaS,2,82,3.5,87,10,Client 10,Large,Funding Round,High
Product Manager,"Customer Support, Technical Expertise",145.13653722898104,Company 11,Senior,USA,Technology,11,96,3.7,100,3,Client 11,Small,Funding Round,Medium
Customer Training Manager,"Analytics, Communication, Training, Customer Support",122.90434046909988,Company 12,Mid-level,USA,Technology,13,80,3.6,82,2,Client 12,Medium,Product Launch,Low
Onboarding Specialist,"Customer Support, Leadership, Relationship Management, Technical Expertise",151.4364092372365,Company 13,Junior,USA,Retail,11,90,3.7,84,4,Client 13,Small,Expansion,Medium
Product Manager,"Technical Expertise, Training, Market Analysis, Training Design, Leadership",130.0418511402249,Company 14,Junior,USA,B2B,14,96,3.9,90,10,Client 14,Large,Product Launch,High
Customer Success Manager,"Problem-Solving, Strategic Planning",169.69630088527256,Company 15,Senior,USA,Technology,6,95,4.2,85,5,Client 15,Small,Expansion,Low
Onboarding Specialist,"Customer Support, Leadership, Communication",172.06878860053968,Company 16,Junior,USA,Other,13,95,3.6,79,10,Client 16,Small,Funding Round,High
Customer Training Manager,"Technical Expertise, Training Design, Analytics, Strategic Planning",167.1317443281464,Company 17,Senior,USA,Finance,17,85,3.1,87,6,Client 17,Large,Partnership,High
Customer Success Manager,"Customer Support, Training Design, Relationship Management",157.70440461091732,Company 18,Mid-level,USA,Healthcare,9,89,4.6,77,5,Client 18,Small,Product Launch,Low
Customer Training Manager,"Relationship Management, Training, Customer Support",117.73449534095664,Company 19,Mid-level,USA,B2B,19,91,3.3,80,3,Client 19,Medium,Partnership,High
Onboarding Specialist,"Problem-Solving, Strategic Planning, Leadership",114.58464058655234,Company 20,Senior,USA,Technology,11,88,4.3,78,8,Client 20,Large,Partnership,Medium
Onboarding Specialist,"Strategic Planning, Leadership, Technical Expertise, Problem-Solving, Training",164.04630921488356,Company 21,Junior,USA,SaaS,10,96,4.5,74,5,Client 21,Large,Product Launch,Low
Customer Training Manager,"Strategic Planning, Analytics",138.47304995436554,Company 22,Junior,USA,B2B,19,90,3.5,75,2,Client 22,Small,Product Launch,Low
Customer Training Manager,"Training, Market Analysis, Communication, Analytics, Training Design",157.58414406376335,Company 23,Junior,USA,Technology,10,85,3.6,97,1,Client 23,Large,Funding Round,High
Onboarding Specialist,"Analytics, Strategic Planning, Training",150.2552337152771,Company 24,Senior,USA,Technology,4,99,3.6,92,9,Client 24,Large,Expansion,High
Customer Success Manager,"Communication, Strategic Planning, Leadership",105.75024155704203,Company 25,Junior,USA,Finance,4,84,3.1,87,5,Client 25,Medium,Partnership,High
Customer Training Manager,"Leadership, Customer Support",181.75963958836945,Company 26,Mid-level,USA,Retail,5,80,4.6,85,5,Client 26,Small,Expansion,Low
Product Manager,"Market Analysis, Relationship Management, Communication, Customer Support, Technical Expertise",191.82574370104763,Company 27,Senior,USA,Healthcare,10,94,4.4,83,8,Client 27,Large,Product Launch,Medium
Onboarding Specialist,"Communication, Training, Leadership, Customer Support",176.39040969392678,Company 28,Senior,USA,Retail,1,96,3.9,81,5,Client 28,Large,Partnership,Medium
Customer Training Manager,"Leadership, Analytics, Technical Expertise, Training, Problem-Solving",164.10522015490773,Company 29,Mid-level,USA,Finance,3,91,4.5,75,5,Client 29,Large,Expansion,Medium
Customer Success Manager,"Technical Expertise, Leadership, Analytics, Strategic Planning, Training Design",196.5139423880757,Company 30,Junior,USA,Finance,2,86,4.7,89,10,Client 30,Large,Funding Round,Low
Customer Training Manager,"Leadership, Training Design, Training",150.01923587944742,Company 31,Senior,USA,Healthcare,9,98,3.9,90,3,Client 31,Large,Product Launch,Medium
Onboarding Specialist,"Analytics, Relationship Management, Communication, Training Design, Problem-Solving",115.2602676925153,Company 32,Mid-level,USA,Healthcare,16,93,3.4,86,8,Client 32,Small,Expansion,Low
Customer Success Manager,"Communication, Training Design, Strategic Planning, Market Analysis, Leadership",151.03037521576596,Company 33,Junior,USA,SaaS,6,89,3.5,97,3,Client 33,Small,Expansion,Medium
Product Manager,"Analytics, Training Design",164.5180124272411,Company 34,Mid-level,USA,B2B,7,95,4.9,70,5,Client 34,Large,Product Launch,High
Onboarding Specialist,"Leadership, Communication",177.58689623124172,Company 35,Mid-level,USA,Technology,18,99,3.9,86,4,Client 35,Small,Funding Round,Low
Onboarding Specialist,"Strategic Planning, Problem-Solving",181.59249932771758,Company 36,Junior,USA,Healthcare,8,87,4.5,80,9,Client 36,Medium,Expansion,Low
Onboarding Specialist,"Technical Expertise, Problem-Solving, Market Analysis",165.01077046527286,Company 37,Senior,USA,Healthcare,16,91,4.7,90,1,Client 37,Large,Product Launch,Low
Onboarding Specialist,"Leadership, Customer Support",106.1056060493507,Company 38,Mid-level,USA,Other,12,85,3.7,77,6,Client 38,Large,Partnership,Low
Onboarding Specialist,"Customer Support, Communication",101.04978908050468,Company 39,Junior,USA,Technology,9,100,4.5,91,9,Client 39,Large,Expansion,High
Onboarding Specialist,"Training, Strategic Planning, Training Design",166.45277638460516,Company 40,Junior,USA,Healthcare,7,84,3.6,76,9,Client 40,Small,Funding Round,Medium
Customer Training Manager,"Communication, Problem-Solving, Technical Expertise",197.48698688476907,Company 41,Senior,USA,Retail,3,80,3.8,93,3,Client 41,Medium,Funding Round,Low
Customer Success Manager,"Communication, Technical Expertise, Problem-Solving, Relationship Management",105.25691361489547,Company 42,Senior,USA,B2B,11,89,4.6,76,5,Client 42,Small,Expansion,High
Product Manager,"Strategic Planning, Training Design, Technical Expertise",103.73488769272844,Company 43,Senior,USA,B2B,8,95,3.5,95,4,Client 43,Small,Partnership,High
